iteration,best_fitness,curr_fitness,features_used,temperature
1,0.84326,0.842862,40,0.995
10,0.847948,0.839968,42,0.95111
20,0.847948,0.839413,39,0.90461
30,0.847948,0.834774,43,0.860384
40,0.847948,0.841083,39,0.81832
50,0.847948,0.838988,39,0.778313
60,0.847948,0.841457,37,0.740261
70,0.847948,0.842088,38,0.70407
80,0.847948,0.842217,38,0.669648
90,0.847948,0.839732,42,0.636909
100,0.847948,0.834534,44,0.60577
110,0.847948,0.837287,41,0.576154
120,0.847948,0.840639,41,0.547986
130,0.847948,0.84688,37,0.521195
140,0.848156,0.844639,38,0.495714
150,0.848156,0.841906,36,0.471479
160,0.848344,0.84117,40,0.448428
170,0.848344,0.839651,41,0.426505
180,0.850201,0.850201,32,0.405653
190,0.852134,0.849238,33,0.385821
200,0.852134,0.847784,34,0.366958
210,0.852134,0.844764,35,0.349017
220,0.852134,0.843127,39,0.331954
230,0.852134,0.841095,39,0.315725
240,0.852134,0.843374,39,0.300289
250,0.852134,0.839287,41,0.285608
260,0.852134,0.832732,45,0.271645
270,0.852134,0.839786,39,0.258364
280,0.852134,0.84203,36,0.245733
290,0.852134,0.8456,36,0.233719
300,0.852934,0.852011,33,0.222292
310,0.852934,0.844673,38,0.211424
320,0.852934,0.843857,39,0.201088
330,0.852934,0.836735,40,0.191257
340,0.852934,0.828512,48,0.181906
350,0.852934,0.823663,51,0.173013
360,0.852934,0.827473,46,0.164554
370,0.852934,0.832398,45,0.156509
380,0.852934,0.836679,40,0.148857
390,0.852934,0.83548,41,0.14158
400,0.852934,0.837663,40,0.134658
410,0.852934,0.84103,39,0.128075
420,0.852934,0.845175,35,0.121813
430,0.852934,0.848792,34,0.115858
440,0.852934,0.845978,38,0.110193
450,0.852934,0.844568,37,0.104806
460,0.852934,0.841249,40,0.099682
470,0.852934,0.840625,41,0.094809
480,0.852934,0.837615,42,0.090173
490,0.852934,0.837724,43,0.085765
500,0.852934,0.843999,37,0.081572
510,0.852934,0.842098,38,0.077584
520,0.852934,0.843017,39,0.073791
530,0.852934,0.84505,37,0.070183
540,0.852934,0.8526,30,0.066752
550,0.852934,0.841663,32,0.063488
560,0.852934,0.850264,34,0.060384
570,0.852934,0.844468,36,0.057432
580,0.852934,0.846934,34,0.054624
590,0.852934,0.847647,36,0.051954
600,0.852934,0.84109,41,0.049414
610,0.852934,0.848986,35,0.046998
620,0.852967,0.845894,37,0.0447
630,0.852967,0.84685,37,0.042515
640,0.852967,0.847644,37,0.040436
650,0.852967,0.844759,38,0.038459
660,0.852967,0.835852,42,0.036579
670,0.852967,0.841301,36,0.034791
680,0.852967,0.836672,40,0.03309
690,0.852967,0.841024,39,0.031472
700,0.852967,0.843329,35,0.029933
710,0.852967,0.843614,38,0.02847
720,0.852967,0.838016,39,0.027078
730,0.852967,0.84227,38,0.025754
740,0.852967,0.843456,38,0.024495
750,0.852967,0.851071,35,0.023298
760,0.852967,0.847101,37,0.022159
770,0.852967,0.846614,39,0.021075
780,0.853889,0.853889,31,0.020045
790,0.860551,0.860551,27,0.019065
800,0.861561,0.84694,36,0.018133
